Característica,Fisher_Score,Rank
c_ACC_mag_peak_freq,0.15857434943893567,74
c_EDA_mean,0.14466575520673228,75
c_ACC_x_mean,0.14436558552638548,76
c_ACC_mag_rms,0.13933542407148325,77
w_EDA_zcr,0.13885362180204472,78
c_ACC_x_std,0.12849830713220425,79
w_BVP_spectral_energy,0.12801409243638676,80
c_ACC_mag_spectral_entropy,0.12644259304628624,81
w_ACC_x_range,0.12590665720844643,82
w_ACC_mag_q25,0.12113344340071738,83
c_ACC_z_rms,0.12063374370987262,84
w_BVP_std,0.11524594961233818,85
w_ACC_mag_q75,0.11333953669190289,86
c_RESP_zcr,0.11107635988949496,87
w_EDA_deriv_mean,0.1104835331147148,88
w_ACC_y_range,0.11043763582954548,89
w_ACC_z_range,0.10826094135734594,90
c_TEMP_mean,0.10615178719019297,91
w_ACC_y_min,0.10535315798447757,92
c_ACC_z_mean,0.10139132812802035,93
w_ACC_y_rms,0.0908576438981337,94
w_ACC_z_mean,0.089993116705654,95
w_ACC_mag_rms,0.08947352971958288,96
c_EDA_kurtosis,0.08657464302336632,97
w_TEMP_mean,0.08505395051458976,98
w_ACC_z_q75,0.0833022164092389,99
c_EDA_deriv_std,0.0792343843831485,100
w_TEMP_zcr,0.07911685681959649,101
c_ACC_y_mean,0.07652963215014093,102
c_ACC_y_rms,0.07463184695864955,103
w_BVP_max,0.07449120205812643,104
c_ACC_y_q25,0.0736904891211129,105
w_ACC_z_q25,0.07262726149677941,106
c_ACC_x_iqr,0.07154615989371597,107
w_BVP_peak_freq,0.06886955864222984,108
w_BVP_range,0.06672145294433363,109
c_ACC_y_zcr,0.06043143820181879,110
w_BVP_q25,0.05967147838944402,111
c_EMG_peak_freq,0.05617701233525895,112
w_EDA_skewness,0.053222137571468535,113
w_BVP_min,0.050034617681214914,114
c_ECG_peak_freq,0.0489122505709987,115
c_TEMP_std,0.045819179564747695,116
c_ACC_z_std,0.04220103328532308,117
c_EMG_wl,0.03854302320335459,118
c_EMG_zcr,0.038507040774564565,119
w_ACC_mag_skewness,0.03801229601097599,120
w_TEMP_kurtosis,0.034014356165474845,121
c_TEMP_skewness,0.03306224032026891,122
w_ACC_x_min,0.031255572582820024,123
c_RESP_kurtosis,0.031139672271461003,124
c_TEMP_iqr,0.031127334245167768,125
w_ACC_mag_mean,0.030433772863022342,126
w_ACC_x_max,0.03034198473943303,127
w_ACC_x_kurtosis,0.029675450702705688,128
c_EDA_peak_freq,0.028790131653904358,129
w_ACC_y_kurtosis,0.02816324892880069,130
c_ACC_z_iqr,0.02674015465114235,131
c_ECG_mean,0.02515385144528961,132
c_ACC_y_kurtosis,0.02401657531919791,133
w_ACC_y_q75,0.02206878938070938,134
c_EMG_mav,0.0219337780195033,135
w_ACC_y_mean,0.02118299596746058,136
